,type,id,geometry,properties,centroid,pixel_coord
41,Feature,8866e09007fffff,"{'type': 'Polygon', 'coordinates': [[[-74.12803141935166, 4.599447610252471], [-74.13205090469842, 4.5967645520631795], [-74.13153373211378, 4.591910911597421], [-74.12699697085702, 4.589740470988566], [-74.12297756246335, 4.59242371714503], [-74.12349483836431, 4.597277215934003]]]}",{'value': 0},"[4.594594140545061, -74.12751420221196]","[69, 58]"
42,Feature,8866e090d9fffff,"{'type': 'Polygon', 'coordinates': [[[-74.06504304404422, 4.573914699098725], [-74.06906077966062, 4.571231570963564], [-74.06854279926154, 4.56637772685259], [-74.06400698016154, 4.564207153311923], [-74.05998932227811, 4.566890469562765], [-74.06050740575273, 4.571744171229474]]]}",{'value': 0},"[4.569061025894946, -74.0645250192157]","[72, 65]"
43,Feature,8866e0915dfffff,"{'type': 'Polygon', 'coordinates': [[[-74.16886346440407, 4.618980616620511], [-74.17288404110826, 4.616297713198784], [-74.17236739782243, 4.611444336659053], [-74.16783007435333, 4.609274004704126], [-74.16380957409473, 4.611957096004494], [-74.16432632085065, 4.616810331371951]]]}",{'value': 0},"[4.614127410756461, -74.16834677648279]","[67, 54]"
44,Feature,8866e092c5fffff,"{'type': 'Polygon', 'coordinates': [[[-74.07125823257849, 4.632143204662116], [-74.07527543506188, 4.629462129032259], [-74.07475762532687, 4.624610681786662], [-74.07022251003633, 4.622440452402082], [-74.0662053851816, 4.625121716286927], [-74.06672329797982, 4.629973021292238]]]}",{'value': 0},"[4.627291928572563, -74.07074037841716]","[66, 65]"
45,Feature,8866e09211fffff,"{'type': 'Polygon', 'coordinates': [[[-74.08136372299788, 4.646185371268915], [-74.08538108054393, 4.64350467215421], [-74.08486341655885, 4.638653683345223], [-74.08032829192354, 4.636483535736102], [-74.07631101187633, 4.639164423109234], [-74.07682877895667, 4.644015269823909]]]}",{'value': 0},"[4.641334553639011, -74.08084601456915]","[64, 63]"
46,Feature,8866e42f45fffff,"{'type': 'Polygon', 'coordinates': [[[-74.02229204878068, 4.737525269546169], [-74.02630629799881, 4.734848758904198], [-74.02578806620386, 4.730002521544566], [-74.02125548238752, 4.727832937361935], [-74.0172413113417, 4.730509636716015], [-74.017759645931, 4.735355731531488]]]}",{'value': 0},"[4.73267920404563, -74.02177377269226]","[54, 70]"
47,Feature,8866e0934bfffff,"{'type': 'Polygon', 'coordinates': [[[-74.14939544537071, 4.678735418980428], [-74.1534146262365, 4.676054975836626], [-74.15289784314001, 4.671204429054266], [-74.14836177581714, 4.669034466661077], [-74.1443426716055, 4.671715097915426], [-74.14485955805367, 4.6765655034432205]]]}",{'value': 0},"[4.673885043239539, -74.1488786176966]","[60, 56]"
48,Feature,8866e09305fffff,"{'type': 'Polygon', 'coordinates': [[[-74.16845978343548, 4.65562900188004], [-74.172479882066, 4.652947447490609], [-74.17196329358796, 4.648095644579775], [-74.16742650302592, 4.6459255371422685], [-74.16340648082831, 4.648607279512507], [-74.1639231727508, 4.653458941330244]]]}",{'value': 0},"[4.650777369820001, -74.16794315033326]","[63, 54]"
49,Feature,8866e42a89fffff,"{'type': 'Polygon', 'coordinates': [[[-74.04754472528032, 4.77259933943595], [-74.0515593643878, 4.769923772375247], [-74.05104149631751, 4.765078689959172], [-74.04650888625605, 4.762909316773711], [-74.04249432499688, 4.765585072553341], [-74.04301229594194, 4.770430012790355]]]}",{'value': 0},"[4.767754428935184, -74.04702681287318]","[50, 67]"
50,Feature,8866e09335fffff,"{'type': 'Polygon', 'coordinates': [[[-74.1704134429238, 4.633539032498743], [-74.17443388572354, 4.630856641228652], [-74.17391728505834, 4.6260038655420095], [-74.16938013811762, 4.623833622237857], [-74.1653597717376, 4.626516201421282], [-74.1658764758696, 4.631368835986319]]]}",{'value': 0},"[4.62868642755007, -74.16989679762406]","[65, 54]"
51,Feature,8866e42107fffff,"{'type': 'Polygon', 'coordinates': [[[-74.03006448450066, 4.810192070678445], [-74.03407806934746, 4.8075181403657625], [-74.03356005073198, 4.802674927398523], [-74.02902834448173, 4.80050578702082], [-74.02501483767696, 4.803179906213588], [-74.02553295907143, 4.808022976894827]]]}",{'value': 0},"[4.805349029875303, -74.02954642159557]","[46, 69]"
52,Feature,8866e429c1fffff,"{'type': 'Polygon', 'coordinates': [[[-74.13343792051018, 4.7309242436122245], [-74.13745591588332, 4.728245941172733], [-74.13693902362422, 4.723397859349513], [-74.13240403273039, 4.721228221269983], [-74.12838611418061, 4.7239067120174445], [-74.12890310969237, 4.728754652527261]]]}",{'value': 0},"[4.726076333143889, -74.13292098372165]","[55, 58]"
