localidad,latitud,longitud
usaquen,4.7559249,-74.0210358
usaquen,4.757587,-74.0214006
usaquen,4.7581072,-74.0214765
usaquen,4.7583051,-74.0212898
usaquen,4.7584921,-74.0212471
usaquen,4.7586739,-74.0212492
usaquen,4.7594505,-74.021405
usaquen,4.7595147,-74.0209973
usaquen,4.7601764,-74.0210802
usaquen,4.760241,-74.0187341
usaquen,4.76176,-74.0199781
usaquen,4.7619096,-74.0205145
usaquen,4.7616303,-74.0209567
usaquen,4.7616157,-74.0211937
usaquen,4.7617993,-74.0213649
usaquen,4.7629449,-74.0215364
usaquen,4.7635295,-74.0220605
usaquen,4.7638605,-74.0222269
usaquen,4.7640696,-74.02228
usaquen,4.7644256,-74.0224601
usaquen,4.7646467,-74.0198815
usaquen,4.7649728,-74.0198654
usaquen,4.764914,-74.0211314
usaquen,4.7647298,-74.0224251
usaquen,4.7652199,-74.0224484
usaquen,4.7651655,-74.0221648
usaquen,4.7651709,-74.021776
usaquen,4.76569,-74.0188109
usaquen,4.7668378,-74.0181308
usaquen,4.7680491,-74.0180745
usaquen,4.768697,-74.0178779
usaquen,4.7697392,-74.0173724
usaquen,4.770866,-74.0172319
usaquen,4.7717674,-74.016951
usaquen,4.772779,-74.0166431
usaquen,4.7740997,-74.0164405
usaquen,4.775014,-74.0164404
usaquen,4.7762331,-74.016339
usaquen,4.7767411,-74.0161364
usaquen,4.779462,-74.0160946
usaquen,4.7797889,-74.0161362
usaquen,4.7801281,-74.0161622
usaquen,4.7811097,-74.0162373
usaquen,4.7818209,-74.0163385
usaquen,4.7829384,-74.016541
usaquen,4.7841576,-74.0166421
usaquen,4.7851735,-74.0167433
usaquen,4.7861895,-74.0167432
usaquen,4.7872054,-74.0166419
usaquen,4.7885261,-74.0165405
usaquen,4.7901516,-74.0163378
usaquen,4.7908628,-74.0163377
usaquen,4.7917771,-74.0162364
usaquen,4.7928946,-74.0158312
usaquen,4.7936058,-74.0152235
usaquen,4.7940121,-74.0150209
usaquen,4.7944185,-74.0146157
usaquen,4.7951296,-74.0141093
usaquen,4.7957391,-74.0136029
usaquen,4.7971238,-74.0134733
usaquen,4.7982624,-74.0128012
